Vg,Vd,Id
0.41,0.03,4.0914e-06
0.42,0.03,4.2516e-06
0.43,0.03,4.4049e-06
0.44,0.03,4.5516e-06
0.45,0.03,4.6917e-06
0.46,0.03,4.8256e-06
0.47,0.03,4.9535e-06
0.48,0.03,5.0756e-06
0.49,0.03,5.1921e-06
0.5,0.03,5.3033e-06
0.51,0.03,5.4094e-06
0.52,0.03,5.5106e-06
0.53,0.03,5.6073e-06
0.54,0.03,5.6995e-06
0.55,0.03,5.7876e-06
0.56,0.03,5.8717e-06
0.57,0.03,5.952e-06
0.58,0.03,6.0288e-06
0.59,0.03,6.1021e-06
0.6,0.03,6.1722e-06
0.61,0.03,6.2393e-06
0.62,0.03,6.3035e-06
0.63,0.03,6.3649e-06
0.64,0.03,6.4237e-06
0.65,0.03,6.48e-06
0.66,0.03,6.5339e-06
0.67,0.03,6.5856e-06
0.68,0.03,6.6352e-06
0.69,0.03,6.6828e-06
0.7,0.03,6.7284e-06
0.71,0.03,6.7723e-06
0.72,0.03,6.8144e-06
0.73,0.03,6.8548e-06
0.74,0.03,6.8937e-06
0.75,0.03,6.931e-06
0.76,0.03,6.967e-06
0.77,0.03,7.0015e-06
0.78,0.03,7.0348e-06
0.79,0.03,7.0669e-06
0.8,0.03,7.0977e-06
0.01,0.04,2.18344e-10
0.02,0.04,3.18525e-10
0.03,0.04,4.6466e-10
0.04,0.04,6.7781e-10
0.05,0.04,9.88678e-10
0.06,0.04,1.442e-09
0.07,0.04,2.1029e-09
0.08,0.04,3.0661e-09
0.09,0.04,4.4694e-09
0.1,0.04,6.5123e-09
0.11,0.04,9.4837e-09
0.12,0.04,1.37995e-08
0.13,0.04,2.00554e-08
0.14,0.04,2.90978e-08
0.15,0.04,4.21144e-08
0.16,0.04,6.07444e-08
0.17,0.04,8.71953e-08
0.18,0.04,1.24341e-07
0.19,0.04,1.75752e-07
0.2,0.04,2.45578e-07
0.21,0.04,3.38225e-07
0.22,0.04,4.57783e-07
0.23,0.04,6.07294e-07
0.24,0.04,7.88043e-07
0.25,0.04,9.99135e-07
0.26,0.04,1.2375e-06
0.27,0.04,1.4986e-06
0.28,0.04,1.7767e-06
0.29,0.04,2.0664e-06
0.3,0.04,2.3625e-06
0.31,0.04,2.6607e-06
0.32,0.04,2.9577e-06
0.33,0.04,3.2509e-06
0.34,0.04,3.5383e-06
0.35,0.04,3.8186e-06
0.36,0.04,4.0909e-06
0.37,0.04,4.3545e-06
0.38,0.04,4.6091e-06
0.39,0.04,4.8544e-06
0.4,0.04,5.0903e-06
0.41,0.04,5.3168e-06
0.42,0.04,5.534e-06
0.43,0.04,5.7422e-06
0.44,0.04,5.9414e-06
0.45,0.04,6.132e-06
0.46,0.04,6.3142e-06
0.47,0.04,6.4882e-06
0.48,0.04,6.6545e-06
0.49,0.04,6.8133e-06
0.5,0.04,6.9649e-06
0.51,0.04,7.1096e-06
0.52,0.04,7.2478e-06
0.53,0.04,7.3797e-06
0.54,0.04,7.5057e-06
0.55,0.04,7.626e-06
0.56,0.04,7.7408e-06
0.57,0.04,7.8506e-06
0.58,0.04,7.9555e-06
0.59,0.04,8.0557e-06
0.6,0.04,8.1516e-06
0.61,0.04,8.2432e-06
0.62,0.04,8.331e-06
0.63,0.04,8.4149e-06
0.64,0.04,8.4953e-06
0.65,0.04,8.5722e-06
0.66,0.04,8.646e-06
0.67,0.04,8.7167e-06
0.68,0.04,8.7845e-06
0.69,0.04,8.8495e-06
0.7,0.04,8.9118e-06
0.71,0.04,8.9717e-06
0.72,0.04,9.0292e-06
0.73,0.04,9.0844e-06
0.74,0.04,9.1375e-06
0.75,0.04,9.1885e-06
0.76,0.04,9.2376e-06
0.77,0.04,9.2848e-06
0.78,0.04,9.3302e-06
0.79,0.04,9.3739e-06
0.8,0.04,9.4161e-06
0.01,0.05,2.38336e-10
0.02,0.05,3.47672e-10
0.03,0.05,5.07152e-10
0.04,0.05,7.39758e-10
0.05,0.05,1.079e-09
0.06,0.05,1.5737e-09
0.07,0.05,2.2948e-09
0.08,0.05,3.3459e-09
0.09,0.05,4.8771e-09
0.1,0.05,7.1065e-09
0.11,0.05,1.03493e-08
0.12,0.05,1.50601e-08
0.13,0.05,2.18906e-08
0.14,0.05,3.17676e-08
0.15,0.05,4.59946e-08
0.16,0.05,6.6376e-08
0.17,0.05,9.53532e-08
0.18,0.05,1.36127e-07
0.19,0.05,1.92715e-07
0.2,0.05,2.6987e-07
0.21,0.05,3.72777e-07
0.22,0.05,5.06487e-07
0.23,0.05,6.75148e-07
0.24,0.05,8.81183e-07
0.25,0.05,1.1247e-06
0.26,0.05,1.4032e-06
0.27,0.05,1.7122e-06
0.28,0.05,2.0454e-06
0.29,0.05,2.3963e-06
0.3,0.05,2.7583e-06
0.31,0.05,3.1258e-06
0.32,0.05,3.494e-06
0.33,0.05,3.8592e-06
0.34,0.05,4.2186e-06
0.35,0.05,4.5703e-06
0.36,0.05,4.9128e-06
0.37,0.05,5.245e-06
0.38,0.05,5.5664e-06
0.39,0.05,5.8766e-06
0.4,0.05,6.1753e-06
0.41,0.05,6.4626e-06
0.42,0.05,6.7384e-06
0.43,0.05,7.0029e-06
0.44,0.05,7.2563e-06
0.45,0.05,7.4989e-06
0.46,0.05,7.731e-06
0.47,0.05,7.953e-06
0.48,0.05,8.1652e-06
0.49,0.05,8.3679e-06
0.5,0.05,8.5615e-06
0.51,0.05,8.7465e-06
0.52,0.05,8.9232e-06
0.53,0.05,9.092e-06
0.54,0.05,9.2532e-06
0.55,0.05,9.4072e-06
0.56,0.05,9.5543e-06
0.57,0.05,9.6949e-06
0.58,0.05,9.8292e-06
0.59,0.05,9.9577e-06
0.6,0.05,1.00805e-05
0.61,0.05,1.0198e-05
0.62,0.05,1.03105e-05
0.63,0.05,1.04181e-05
0.64,0.05,1.05211e-05
0.65,0.05,1.06198e-05
0.66,0.05,1.07144e-05
0.67,0.05,1.0805e-05
0.68,0.05,1.08919e-05
0.69,0.05,1.09752e-05
0.7,0.05,1.10552e-05
0.71,0.05,1.11319e-05
0.72,0.05,1.12056e-05
0.73,0.05,1.12764e-05
0.74,0.05,1.13444e-05
0.75,0.05,1.14098e-05
0.76,0.05,1.14726e-05
0.77,0.05,1.1533e-05
0.78,0.05,1.15912e-05
0.79,0.05,1.16471e-05
0.8,0.05,1.1701e-05
0.01,0.06,2.53102e-10
0.02,0.06,3.69189e-10
0.03,0.06,5.38506e-10
0.04,0.06,7.85445e-10
0.05,0.06,1.1456e-09
0.06,0.06,1.6706e-09
0.07,0.06,2.4361e-09
0.08,0.06,3.5518e-09
0.09,0.06,5.177e-09
0.1,0.06,7.5433e-09
0.11,0.06,1.09853e-08
0.12,0.06,1.5986e-08
0.13,0.06,2.32378e-08
0.14,0.06,3.37264e-08
0.15,0.06,4.88402e-08
0.16,0.06,7.05041e-08
0.17,0.06,1.01331e-07
0.18,0.06,1.44761e-07
0.19,0.06,2.05141e-07
0.2,0.06,2.87672e-07
0.21,0.06,3.98126e-07
0.22,0.06,5.42309e-07
0.23,0.06,7.25277e-07
0.24,0.06,9.50491e-07
0.25,0.06,1.2191e-06
0.26,0.06,1.5296e-06
0.27,0.06,1.8778e-06
0.28,0.06,2.2578e-06
0.29,0.06,2.6622e-06
0.3,0.06,3.0836e-06
0.31,0.06,3.5149e-06
0.32,0.06,3.9503e-06
0.33,0.06,4.3846e-06
0.34,0.06,4.8141e-06
0.35,0.06,5.2359e-06
0.36,0.06,5.6479e-06
0.37,0.06,6.0487e-06
0.38,0.06,6.4373e-06
0.39,0.06,6.813e-06
0.4,0.06,7.1754e-06
0.41,0.06,7.5244e-06
0.42,0.06,7.8599e-06
0.43,0.06,8.1821e-06
0.44,0.06,8.4911e-06
0.45,0.06,8.7873e-06
0.46,0.06,9.0709e-06
0.47,0.06,9.3423e-06
0.48,0.06,9.602e-06
0.49,0.06,9.8502e-06
0.5,0.06,1.00876e-05
0.51,0.06,1.03144e-05
0.52,0.06,1.05312e-05
0.53,0.06,1.07383e-05
0.54,0.06,1.09363e-05
0.55,0.06,1.11254e-05
0.56,0.06,1.13063e-05
0.57,0.06,1.14791e-05
0.58,0.06,1.16443e-05
0.59,0.06,1.18023e-05
0.6,0.06,1.19534e-05
0.61,0.06,1.2098e-05
0.62,0.06,1.22364e-05
0.63,0.06,1.23689e-05
0.64,0.06,1.24957e-05
0.65,0.06,1.26172e-05
0.66,0.06,1.27336e-05
0.67,0.06,1.28451e-05
0.68,0.06,1.29521e-05
0.69,0.06,1.30547e-05
0.7,0.06,1.31531e-05
0.71,0.06,1.32476e-05
0.72,0.06,1.33383e-05
0.73,0.06,1.34254e-05
0.74,0.06,1.3509e-05
0.75,0.06,1.35894e-05
0.76,0.06,1.36667e-05
0.77,0.06,1.37411e-05
0.78,0.06,1.38125e-05
0.79,0.06,1.38813e-05
0.8,0.06,1.39476e-05
0.01,0.07,2.64426e-10
0.02,0.07,3.85679e-10
0.03,0.07,5.62519e-10
0.04,0.07,8.20412e-10
0.05,0.07,1.1965e-09
0.06,0.07,1.7448e-09
0.07,0.07,2.5441e-09
0.08,0.07,3.7089e-09
0.09,0.07,5.4058e-09
0.1,0.07,7.8762e-09
0.11,0.07,1.14699e-08
0.12,0.07,1.66908e-08
0.13,0.07,2.42626e-08
0.14,0.07,3.52155e-08
0.15,0.07,5.10017e-08
0.16,0.07,7.36377e-08
0.17,0.07,1.05865e-07
0.18,0.07,1.51305e-07
0.19,0.07,2.14554e-07
0.2,0.07,3.01149e-07
0.21,0.07,4.17312e-07
0.22,0.07,5.69421e-07
0.23,0.07,7.63253e-07
0.24,0.07,1.0031e-06
0.25,0.07,1.2911e-06
0.26,0.07,1.6266e-06
0.27,0.07,2.0064e-06
0.28,0.07,2.4247e-06
0.29,0.07,2.8744e-06
0.3,0.07,3.3475e-06
0.31,0.07,3.836e-06
0.32,0.07,4.3329e-06
0.33,0.07,4.8318e-06
0.34,0.07,5.3279e-06
0.35,0.07,5.8174e-06
0.36,0.07,6.2973e-06
0.37,0.07,6.7656e-06
0.38,0.07,7.2208e-06
0.39,0.07,7.6619e-06
0.4,0.07,8.0883e-06
0.41,0.07,8.4996e-06
0.42,0.07,8.8957e-06
0.43,0.07,9.2765e-06
0.44,0.07,9.6423e-06
0.45,0.07,9.9933e-06
0.46,0.07,1.03297e-05
0.47,0.07,1.0652e-05
0.48,0.07,1.09606e-05
0.49,0.07,1.12559e-05
0.5,0.07,1.15384e-05
0.51,0.07,1.18086e-05
0.52,0.07,1.2067e-05
0.53,0.07,1.23141e-05
0.54,0.07,1.25502e-05
0.55,0.07,1.27761e-05
