Vg,Vd,Id
0.16,0.03,1.03721e-08
0.17,0.03,1.4284e-08
0.18,0.03,1.965e-08
0.19,0.03,2.69918e-08
0.2,0.03,3.70026e-08
0.21,0.03,5.05901e-08
0.22,0.03,6.89196e-08
0.23,0.03,9.34492e-08
0.24,0.03,1.2594e-07
0.25,0.03,1.68421e-07
0.26,0.03,2.23088e-07
0.27,0.03,2.92122e-07
0.28,0.03,3.77435e-07
0.29,0.03,4.80391e-07
0.3,0.03,6.01563e-07
0.31,0.03,7.40605e-07
0.32,0.03,8.9628e-07
0.33,0.03,1.0666e-06
0.34,0.03,1.2491e-06
0.35,0.03,1.4412e-06
0.36,0.03,1.64e-06
0.37,0.03,1.8432e-06
0.38,0.03,2.0483e-06
0.39,0.03,2.2535e-06
0.4,0.03,2.4571e-06
0.41,0.03,2.658e-06
0.42,0.03,2.8551e-06
0.43,0.03,3.0478e-06
0.44,0.03,3.2356e-06
0.45,0.03,3.4182e-06
0.46,0.03,3.5955e-06
0.47,0.03,3.7675e-06
0.48,0.03,3.934e-06
0.49,0.03,4.0952e-06
0.5,0.03,4.251e-06
0.51,0.03,4.4017e-06
0.52,0.03,4.5472e-06
0.53,0.03,4.6876e-06
0.54,0.03,4.8231e-06
0.55,0.03,4.9538e-06
0.56,0.03,5.0798e-06
0.57,0.03,5.2012e-06
0.58,0.03,5.3182e-06
0.59,0.03,5.4309e-06
0.6,0.03,5.5395e-06
0.61,0.03,5.644e-06
0.62,0.03,5.7446e-06
0.63,0.03,5.8416e-06
0.64,0.03,5.9349e-06
0.65,0.03,6.0249e-06
0.66,0.03,6.1115e-06
0.67,0.03,6.195e-06
0.68,0.03,6.2754e-06
0.69,0.03,6.353e-06
0.7,0.03,6.4278e-06
0.71,0.03,6.4999e-06
0.72,0.03,6.5695e-06
0.73,0.03,6.6366e-06
0.74,0.03,6.7015e-06
0.75,0.03,6.7641e-06
0.76,0.03,6.8246e-06
0.77,0.03,6.883e-06
0.78,0.03,6.9396e-06
0.79,0.03,6.9942e-06
0.8,0.03,7.0471e-06
0.01,0.04,9.41634e-11
0.02,0.04,1.30028e-10
0.03,0.04,1.79552e-10
0.04,0.04,2.47935e-10
0.05,0.04,3.42356e-10
0.06,0.04,4.72725e-10
0.07,0.04,6.5272e-10
0.08,0.04,9.01212e-10
0.09,0.04,1.2442e-09
0.1,0.04,1.7177e-09
0.11,0.04,2.371e-09
0.12,0.04,3.2724e-09
0.13,0.04,4.5155e-09
0.14,0.04,6.2291e-09
0.15,0.04,8.5896e-09
0.16,0.04,1.18383e-08
0.17,0.04,1.63037e-08
0.18,0.04,2.24311e-08
0.19,0.04,3.08192e-08
0.2,0.04,4.22662e-08
0.21,0.04,5.78213e-08
0.22,0.04,7.88404e-08
0.23,0.04,1.07035e-07
0.24,0.04,1.44496e-07
0.25,0.04,1.93681e-07
0.26,0.04,2.57318e-07
0.27,0.04,3.38231e-07
0.28,0.04,4.3907e-07
0.29,0.04,5.61985e-07
0.3,0.04,7.08313e-07
0.31,0.04,8.78349e-07
0.32,0.04,1.0713e-06
0.33,0.04,1.2852e-06
0.34,0.04,1.5174e-06
0.35,0.04,1.7647e-06
0.36,0.04,2.0235e-06
0.37,0.04,2.2905e-06
0.38,0.04,2.5622e-06
0.39,0.04,2.8359e-06
0.4,0.04,3.109e-06
0.41,0.04,3.3796e-06
0.42,0.04,3.646e-06
0.43,0.04,3.9071e-06
0.44,0.04,4.1621e-06
0.45,0.04,4.4104e-06
