Vg,Vd,Id_actual,Id_predicted
0.01,0.58,4.83525e-10,4.87141442739869e-10
0.64,0.49,4.72765e-05,4.706346080638468e-05
0.73,0.14,2.86438e-05,2.8445124044083063e-05
0.69,0.3,4.4946e-05,4.5200984459370375e-05
0.57,0.1,1.79338e-05,1.784185878932476e-05
0.5,0.76,3.08838e-05,3.087723962380551e-05
0.24,0.03,6.61987e-07,6.464607758971397e-07
0.53,0.54,3.3684e-05,3.377644781721756e-05
0.5,0.55,2.96322e-05,2.9736670330748897e-05
0.13,0.55,4.01422e-08,3.9933190265628585e-08
0.19,0.54,3.37062e-07,3.3599137168494057e-07
0.74,0.19,3.6485e-05,3.6405255959834905e-05
0.54,0.24,2.90862e-05,2.91488750372082e-05
0.15,0.1,5.51621e-08,5.472063548950246e-08
0.56,0.75,3.94144e-05,3.94155449612299e-05
0.65,0.43,4.70885e-05,4.688037173764314e-05
0.49,0.15,1.96232e-05,1.945812764461152e-05
0.41,0.62,1.77676e-05,1.786372926289914e-05
0.22,0.36,7.81121e-07,7.830046524759382e-07
0.24,0.29,1.3183e-06,1.314747846663522e-06
0.58,0.77,4.23771e-05,4.229342921462376e-05
0.5,0.53,2.94894e-05,2.956969216029393e-05
0.71,0.76,5.93422e-05,5.9469606785569344e-05
0.41,0.41,1.68066e-05,1.680764751654351e-05
0.27,0.38,2.83e-06,2.8235790614417058e-06
0.06,0.07,1.7448e-09,1.7473772118137277e-09
0.53,0.27,2.93359e-05,2.940654587291647e-05
0.53,0.06,1.07383e-05,1.071297941962257e-05
0.27,0.41,2.8713e-06,2.8654958668994367e-06
0.22,0.25,7.24279e-07,7.201677476587065e-07
0.12,0.67,3.0586e-08,3.045064620010862e-08
0.49,0.76,2.94511e-05,2.9454249888658525e-05
0.01,0.43,4.18327e-10,4.2116506060452254e-10
0.31,0.01,7.83088e-07,8.182539022527636e-07
0.7,0.1,2.10073e-05,2.0878211944364012e-05
0.31,0.65,6.3576e-06,6.385189590218943e-06
0.75,0.59,6.12316e-05,6.101565544668119e-05
0.44,0.33,1.99807e-05,2.0040186536789407e-05
0.22,0.45,8.2671e-07,8.279512371700549e-07
0.74,0.4,5.44168e-05,5.4419605294242505e-05
0.01,0.54,4.65429e-10,4.68725068758502e-10
0.2,0.2,3.67273e-07,3.6301137242844564e-07
0.7,0.14,2.78779e-05,2.7761109231505545e-05
0.21,0.02,2.21686e-07,2.1618667233269663e-07
0.5,0.7,3.05593e-05,3.0675777816213666e-05
0.65,0.53,4.91592e-05,4.899650921288412e-05
0.29,0.46,4.3074e-06,4.297596278775018e-06
0.04,0.19,1.0065e-09,1.0095615143868032e-09
0.52,0.25,2.7591e-05,2.764477721939329e-05
0.13,0.51,3.88806e-08,3.870637144132161e-08
0.27,0.74,3.3099e-06,3.3102148336183747e-06
0.44,0.14,1.5403e-05,1.5209134580800312e-05
0.36,0.5,1.11772e-05,1.1180109140696004e-05
0.62,0.11,2.09232e-05,2.0855803450103848e-05
0.71,0.68,5.84022e-05,5.858690390596167e-05
0.24,0.12,1.1412e-06,1.1588342385948635e-06
0.41,0.6,1.76863e-05,1.7771621060092002e-05
0.3,0.02,1.3383e-06,1.3579681399278343e-06
0.57,0.39,3.69861e-05,3.692163561936468e-05
0.28,0.58,3.7698e-06,3.7713015808549243e-06
0.06,0.68,3.3765e-09,3.4154668249186673e-09
0.42,0.5,1.85419e-05,1.856693415902555e-05
0.3,0.49,5.1574e-06,5.149050048203207e-06
0.68,0.74,5.54923e-05,5.563213111599907e-05
0.03,0.31,7.84506e-10,7.820941472225229e-10
0.4,0.51,1.6029e-05,1.6051472375693265e-05
0.1,0.79,1.61562e-08,1.6008737020456465e-08
0.48,0.12,1.65244e-05,1.632103929296136e-05
0.21,0.48,6.20759e-07,6.209226012288127e-07
0.17,0.42,1.54672e-07,1.54831045051651e-07
0.66,0.36,4.5757e-05,4.578079737257212e-05
0.24,0.48,1.4718e-06,1.4715154611621982e-06
0.74,0.2,3.78203e-05,3.778467071242631e-05
0.34,0.32,8.4163e-06,8.430139860138298e-06
0.1,0.76,1.57717e-08,1.5682592859889155e-08
0.14,0.54,5.74309e-08,5.7154080508325934e-08
0.55,0.14,2.22398e-05,2.213116560596973e-05
0.02,0.15,4.51877e-10,4.5552365213197275e-10
0.57,0.79,4.10954e-05,4.091061440703925e-05
0.04,0.28,1.1072e-09,1.1072136985035286e-09
0.21,0.45,6.08956e-07,6.098580968227907e-07
0.38,0.56,1.3743e-05,1.3785906194243582e-05
0.1,0.11,8.6769e-09,8.634034074361807e-09
0.71,0.41,5.23495e-05,5.2232959860702976e-05
0.67,0.51,5.11258e-05,5.0859866387327205e-05
0.3,0.78,5.7045e-06,5.699619996448746e-06
0.32,0.66,7.3358e-06,7.374056694970932e-06
0.63,0.79,4.94349e-05,4.925912828184664e-05
0.03,0.57,1.0066e-09,1.001682563561701e-09
0.07,0.32,3.5431e-09,3.5295457223583073e-09
0.11,0.62,2.03485e-08,2.0255550907677388e-08
0.26,0.76,2.7105e-06,2.706483619476785e-06
0.29,0.61,4.566e-06,4.574458407660131e-06
0.4,0.46,1.58085e-05,1.580894044309389e-05
0.78,0.77,6.71116e-05,6.747696286765859e-05
0.29,0.75,4.8017e-06,4.805951220987481e-06
0.02,0.52,6.62355e-10,6.578051348071767e-10
0.69,0.52,5.35487e-05,5.3247660107444976e-05
0.3,0.64,5.444e-06,5.462353001348674e-06
0.52,0.51,3.20647e-05,3.2114596469909886e-05
0.26,0.48,2.391e-06,2.3880225489847363e-06
0.08,0.78,7.6855e-09,7.674735780227594e-09
0.33,0.38,7.6199e-06,7.6056180114392195e-06
0.16,0.67,1.30284e-07,1.2991166229880948e-07
0.75,0.55,6.03542e-05,6.001521323923953e-05
0.8,0.64,6.68971e-05,6.693741772323847e-05
0.41,0.36,1.65141e-05,1.6541143704671413e-05
0.05,0.16,1.416e-09,1.4155055794162764e-09
0.8,0.75,6.87659e-05,6.925234265509062e-05
0.28,0.28,3.2905e-06,3.2869999631657267e-06
0.61,0.65,4.55471e-05,4.576108622131869e-05
0.35,0.72,1.06897e-05,1.0760001678136176e-05
0.32,0.54,7.0618e-06,7.066713478707243e-06
0.24,0.68,1.6319e-06,1.6336791668436492e-06
0.45,0.8,2.39543e-05,2.391557354712859e-05
0.39,0.07,7.6619e-06,7.548015273641795e-06
0.3,0.11,3.985e-06,3.976120096922387e-06
0.11,0.28,1.52264e-08,1.5337792973468825e-08
0.42,0.49,1.84926e-05,1.8511997986934147e-05
0.39,0.06,6.813e-06,6.744912680005655e-06
0.68,0.08,1.69127e-05,1.6845565987750888e-05
0.48,0.29,2.4293e-05,2.4366009165532886e-05
0.4,0.55,1.61954e-05,1.624281039767084e-05
0.46,0.12,1.53731e-05,1.5158746973611413e-05
0.31,0.44,5.9099e-06,5.894954410905484e-06
0.56,0.04,7.7408e-06,7.783600012771786e-06
0.13,0.14,2.78577e-08,2.7536203504041627e-08
0.48,0.65,2.74578e-05,2.7601452347880696e-05
0.78,0.53,6.25213e-05,6.220009207027033e-05
0.54,0.15,2.27356e-05,2.2629479644820094e-05
0.55,0.47,3.568e-05,3.5642918373923745e-05
0.62,0.37,4.21463e-05,4.2103671585209665e-05
0.42,0.2,1.58578e-05,1.5856917889323087e-05
0.26,0.32,2.2031e-06,2.197772701038048e-06
0.2,0.4,4.27179e-07,4.284829628886655e-07
0.65,0.12,2.33329e-05,2.3261960595846176e-05
0.41,0.64,1.78476e-05,1.7952382331714035e-05
0.09,0.71,1.04817e-08,1.0492957116525758e-08
0.13,0.01,8.0716e-09,7.961099299791386e-09
0.78,0.14,2.97295e-05,2.9330636898521338e-05
0.08,0.59,6.5489e-09,6.570033344033277e-09
0.78,0.37,5.55829e-05,5.584015001659282e-05
0.61,0.39,4.16325e-05,4.1539078956702724e-05
0.03,0.09,5.96822e-10,5.935148772451271e-10
0.62,0.74,4.76818e-05,4.7756029962329196e-05
0.8,0.23,4.37816e-05,4.365565109765157e-05
0.45,0.25,2.01007e-05,2.016862708842382e-05
0.75,0.8,6.43339e-05,6.442307494580746e-05
0.4,0.17,1.31933e-05,1.3134901892044583e-05
0.1,0.63,1.41887e-08,1.4150873273166554e-08
0.58,0.22,3.12343e-05,3.133499034447596e-05
0.09,0.74,1.07436e-08,1.0736501110386598e-08
0.33,0.24,7.1402e-06,7.196648803073913e-06
0.78,0.29,4.94653e-05,4.9714147608028724e-05
0.07,0.31,3.5095e-09,3.497969913723864e-09
0.64,0.33,4.25937e-05,4.269564058631659e-05
0.59,0.5,4.12582e-05,4.1192070057149976e-05
0.76,0.42,5.68907e-05,5.686122720362618e-05
0.14,0.09,3.73107e-08,3.710213064778145e-08
0.3,0.06,3.0836e-06,3.0209708347683773e-06
0.05,0.64,2.2518e-09,2.2733618720849335e-09
0.04,0.27,1.096e-09,1.0967713137688406e-09
0.58,0.76,4.23082e-05,4.227156998240389e-05
0.57,0.64,4.00174e-05,4.022583365440369e-05
0.16,0.59,1.22912e-07,1.2229565029997502e-07
0.13,0.74,4.65355e-08,4.6266357571767e-08
0.33,0.75,8.5653e-06,8.602978596172761e-06
0.39,0.11,1.02336e-05,1.0049348056782038e-05
0.48,0.14,1.81994e-05,1.8010896747000517e-05
0.24,0.39,1.4e-06,1.4011072698849604e-06
0.11,0.59,1.9858e-08,1.9750019752962088e-08
0.02,0.62,7.27563e-10,7.224484654955177e-10
0.04,0.45,1.3058e-09,1.3021717704120305e-09
0.28,0.56,3.7396e-06,3.738928426173516e-06
0.57,0.11,1.93645e-05,1.9264621805632487e-05
0.05,0.45,1.8958e-09,1.896167223236489e-09
0.23,0.43,1.091e-06,1.0927104472102656e-06
0.09,0.19,6.5915e-09,6.584486236249632e-09
0.8,0.67,6.74716e-05,6.767149512597826e-05
0.26,0.52,2.4368e-06,2.4340396339539437e-06
0.75,0.71,6.32245e-05,6.348188609990757e-05
0.02,0.67,7.6204e-10,7.560067527556669e-10
0.04,0.79,1.7769e-09,1.7557083120678387e-09
0.44,0.35,2.01615e-05,2.0203002350172028e-05
0.64,0.29,4.05017e-05,4.070138369570486e-05
0.54,0.09,1.55571e-05,1.5451291983481496e-05
0.07,0.68,4.8862e-09,4.9368907006908105e-09
0.57,0.4,3.71796e-05,3.710358578246087e-05
0.34,0.65,9.3873e-06,9.443144472243148e-06
0.29,0.03,1.6646e-06,1.6512016372871584e-06
0.48,0.04,6.6545e-06,6.686164997518063e-06
0.71,0.49,5.49401e-05,5.458951738546602e-05
0.33,0.29,7.3339e-06,7.358504299190826e-06
0.1,0.03,5.6672e-09,5.689836655164981e-09
0.4,0.4,1.55175e-05,1.5518639702349902e-05
0.33,0.42,7.7339e-06,7.716495310887695e-06
0.4,0.74,1.69133e-05,1.7005362060444895e-05
0.05,0.22,1.5147e-09,1.5178439038976422e-09
0.67,0.2,3.48772e-05,3.4988924744538964e-05
0.76,0.52,6.04999e-05,6.014205981045962e-05
0.59,0.17,2.75256e-05,2.7528377395356077e-05
0.19,0.61,3.53245e-07,3.524363251017348e-07
0.18,0.72,2.7113e-07,2.7133446337757047e-07
0.64,0.37,4.42088e-05,4.41756362124579e-05
0.68,0.35,4.70839e-05,4.7178245586110274e-05
0.73,0.23,4.10331e-05,4.115989111596719e-05
0.36,0.77,1.19968e-05,1.2048672906530556e-05
0.67,0.43,4.92021e-05,4.898209095699713e-05
0.51,0.03,5.4094e-06,5.46559676877223e-06
0.18,0.66,2.60372e-07,2.600065425895082e-07
0.39,0.5,1.47412e-05,1.4754366929992102e-05
0.38,0.27,1.24161e-05,1.250254990736721e-05
0.19,0.62,3.55591e-07,3.54895249756737e-07
0.42,0.25,1.67192e-05,1.6807478459668346e-05
0.74,0.01,2.3185e-06,2.3354853328783067e-06
0.03,0.51,9.51876e-10,9.46300967585856e-10
0.65,0.41,4.65312e-05,4.637196761905215e-05
0.65,0.78,5.20204e-05,5.193036529817619e-05
0.44,0.38,2.04032e-05,2.0421760273166e-05
0.66,0.24,3.82994e-05,3.8521421374753116e-05
0.8,0.76,6.89083e-05,6.940035091247409e-05
0.67,0.71,5.39355e-05,5.4130488788359795e-05
0.42,0.53,1.86852e-05,1.8729864059423562e-05
0.03,0.26,7.45405e-10,7.466533702427115e-10
0.31,0.48,5.9984e-06,5.9882206551264965e-06
0.42,0.75,1.96107e-05,1.969059258044581e-05
0.5,0.46,2.89291e-05,2.893256358220242e-05
0.32,0.16,5.8449e-06,5.88536320719868e-06
0.22,0.5,8.52142e-07,8.520742653672642e-07
0.05,0.72,2.4164e-09,2.4278139498790097e-09
0.58,0.24,3.25637e-05,3.268646774813533e-05
0.67,0.59,5.24734e-05,5.2448364367592146e-05
0.16,0.79,1.41918e-07,1.4149308555033713e-07
0.39,0.22,1.30497e-05,1.3126466219546274e-05
0.2,0.18,3.6071e-07,3.5689583000930724e-07
0.06,0.52,2.9321e-09,2.9484044006267142e-09
0.58,0.69,4.1797e-05,4.197676131298067e-05
0.34,0.02,1.9254e-06,1.989515876630321e-06
0.6,0.68,4.44658e-05,4.467065533390269e-05
0.13,0.36,3.43642e-08,3.461413683680803e-08
0.79,0.18,3.65278e-05,3.6182158801238984e-05
0.33,0.59,8.1773e-06,8.204358255170518e-06
0.62,0.46,4.43432e-05,4.4157340744277464e-05
0.06,0.55,3.0118e-09,3.036177087523129e-09
0.07,0.49,4.1402e-09,4.138382188045853e-09
0.18,0.28,1.9756e-07,1.969698155335209e-07
0.28,0.07,2.4247e-06,2.3927553775138225e-06
0.15,0.29,6.76384e-08,6.799061921469728e-08
0.4,0.35,1.52402e-05,1.5271289339580107e-05
0.15,0.56,8.38866e-08,8.345402306986217e-08
0.32,0.23,6.2053e-06,6.255366115510697e-06
0.44,0.69,2.20893e-05,2.2206604662642348e-05
0.61,0.51,4.39397e-05,4.38448230852373e-05
0.08,0.7,7.1893e-09,7.231520360306831e-09
0.51,0.51,3.07034e-05,3.0757033964619044e-05
0.13,0.04,2.00554e-08,2.0042814412590814e-08
0.23,0.58,1.1878e-06,1.1872055074491073e-06
0.06,0.46,2.7773e-09,2.7783573308681755e-09
0.31,0.05,3.1258e-06,3.072764229727909e-06
0.49,0.77,2.95016e-05,2.9478445285349152e-05
0.1,0.55,1.3277e-08,1.3194741921296328e-08
0.5,0.72,3.06696e-05,3.075426095165312e-05
0.46,0.26,2.14192e-05,2.149067324353382e-05
0.58,0.06,1.16443e-05,1.1643477191682904e-05
0.26,0.5,2.4139e-06,2.410967454125057e-06
0.8,0.06,1.39476e-05,1.3704970479011536e-05
0.75,0.14,2.91046e-05,2.8834987897425894e-05
0.79,0.1,2.23456e-05,2.1947325149085375e-05
0.19,0.57,3.43947e-07,3.4286060838439877e-07
0.59,0.04,8.0557e-06,8.103001164272428e-06
0.45,0.5,2.24988e-05,2.2535645257448778e-05
0.27,0.42,2.885e-06,2.8793052388209615e-06
0.27,0.01,4.81121e-07,4.852415804634802e-07
0.1,0.45,1.2197e-08,1.2100182456009634e-08
0.14,0.28,4.64144e-08,4.674660942782794e-08
0.46,0.23,2.07468e-05,2.0774744189111517e-05
0.45,0.78,2.38687e-05,2.387608736171387e-05
0.22,0.28,7.40097e-07,7.377318434009795e-07
0.08,0.17,4.4288e-09,4.416163097431536e-09
0.02,0.17,4.63308e-10,4.679365894766364e-10
0.7,0.03,6.7284e-06,6.757625669706613e-06
0.68,0.38,4.84336e-05,4.840281879296526e-05
0.12,0.33,2.31129e-08,2.32950580425495e-08
